Black_Robed_Traveler,,,,,,,,
black_robed_traveler,,,,,,,,
black_robed_traveler,,,,,,,,
@,,,,,,,,
intro,"Hail, good and worthy witch.*My name? Oh, don't you worry about that. Those of my station have no names.*I am but a humble servant of the benevolent lord of order. ",,,,,,,
,,,,,,,,
overworld_night_new_campsite_bad,What are you doing out at this hour?*The new moon does not smile kindly down upon those who reject the order of the deep,,,,,,,
overworld_night_new_campsite_neutral,"Ah, a fellow lurker in the night?*The new moon casts its shadow down upon us tonight...it is said the order of the deep is strongest on nights where the moon does not shine.",,,,,,,
overworld_night_new_campsite_good,"Hello my companion, are you out to study the ways of the deep?*The forces of the deep are strongest on nights where the moon shines dark",,,,,,,
,,,,,,,,
request_summon_bad,"I have come to you because the horrid ails of chaos run rampant among the nearby village.*My lord would set the world right, but he must first be summoned. That is where you come in.*Make yourself useful for once. I require a potion to aid with my ritual. Something to serve as a sacrament for the other cult members.",,,,,,,
request_summon_neutral,"I have come to you because the horrid ails of chaos run rampant among the nearby village.*My lord would set the world right, but he must first be summoned. *I require a potion to aid with my ritual. Something to serve as a sacrament for the other cult members.",,,,,,,
request_summon_good,"Dearest priestess of power, I humble myself before you.*My lord would abolish the evils of chaos from this world, but he must first be summoned. That is where you come in.*I require a potion to aid with my ritual. Something to serve as a sacrament for the other cult members.",,,,,,,
,,,,,,,,
request_summon_healing_bad,"Do I detect healing properties? My dearest witch, this will not do, not at all.*We can't have the cultists being healed!*How dare you insult Notcthulu! I cannot bear being in your presence.",,,,,,,
request_summon_healing_neutral,"Do I detect healing properties? My dearest witch, this will not do, not at all.*We can't have the cultists being healed! I assume you meant no disrespect to our tentacled lord.*I will return later with a new task.",,,,,,,
request_summon_healing_good,"Do I detect healing properties? My dearest witch, this will not do, not at all.*We can't have the cultists being healed! This must be a mistake.*I do not believe such a wonderful and order following woman as yourself would purposefully incur the wrath of Notcthulu.*Farewell for now. I will return.",,,,,,,
,,,,,,,,
request_summon_invisibility_bad,"This tastes of ghosts... Have you brewed me an invisibility potion?!*Not entirely what I was after, though those that partake of this will certainly be convinced of my god's power.*Thank you, my dear. You may yet be of use to Notcthulu.",,,,,,,
request_summon_invisibility_neutral,"This tastes of ghosts... Have you brewed me an invisibility potion?!*Not entirely what I was after, though those that partake of this will certainly be convinced of my god's power.*You have helped to bring an end to this sinful world.",,,,,,,
request_summon_invisibility_good,"This tastes of ghosts... Have you brewed me an invisibility potion?!*Not entirely what I was after, though those that partake of this will certainly be convinced of my god's power.*You will make a fine servant for Notcthulu.",,,,,,,
,,,,,,,,
request_summon_mana_bad,"The power...I can feel my tongue vibrating. This is better than I had hoped!*When the cultists drink this they will surge with summoning power.*You have hastened the end of all things!*Notcthulu smiles upon you, daughter of the abyss.",,,,,,,
request_summon_mana_neutral,"I feel the worldbreath surging!*When the cultists drink this they will burst with summoning power!!*You have hastened the end of all things!*Notcthulu smiles upon you, daughter of the abyss.",,,,,,,
request_summon_mana_good,"A mana potion? Oh, daughter of the abyss, this is wonderful!*When the cultists drink this they will surge with summoning power.*You have hastened the end of all things!*Notcthulu will soon visit you himself tog give his thanks.",,,,,,,
,,,,,,,,
request_summon_null_bad,"A placebo? I suspect you thought you were sabotaging the ritual.*A curse upon you for trying to thwart the coming of an elder god.*This will be perfect, actually. The cultists will not be distracted with any innate effects.  ",,,,,,,
request_summon_null_neutral,"So, you have made a null potion. Very impressive.*It takes a careful eye to measure ingredients to cancel one another. You may make a good elder god priestess yet.*I  must go, but I shall return.",,,,,,,
request_summon_null_good,Praise his tentacled self!*It takes a careful eye to measure ingredients to cancel one another. You may make a good elder god priestess yet.*Notcthulu smiles upon you!,,,,,,,
,,,,,,,,
request_summon_poison_bad,"You try to poison me!? Oh, my dear lost soul, you have no idea with whom you are dealing, do you...?*You'll find out.",,,,,,,
request_summon_poison_neutral,"A toxic brew, eh? Are you trying to kill me?*Poor lost human, you haven't the foggiest idea of the power you are meddling with here.*I shall gie this to the cultists and their deaths will hasten the coming of his great tentacled grace! ",,,,,,,
request_summon_poison_good,"!!!*A posion potion!*Dearest daughter of the abyss, you are far wiser than I anticipated.*The blood magic this will create upon the cultists' death will further hasten the coming of my elder god lord.*Notcthulu smiles upon you!",,,,,,,
,,,,,,,,
