White robed traveler,,,,,,,,
brown_robed_traveler,,,,,,,,
brown_robed_traveler,,,,,,,,
@,,,,,,,,
intro,"I'm not here to ask for anything from you, kindly witch, just to offer you a couple tips.*Be cautious of decisions you make dealing with others who dress in robes like mine.*Pacts made can never be unbroken.*Now, if you'll pardon me, I'm getting a bit sleepy.*I might make myself some lavender tea.",,,,,,,
@,,,,,,,,
,,,,,,,,
\Red robed traveler,,,,,,,,
red_robed_traveler,,,,,,,,
red_robed_traveler,,,,,,,,
@,,,,,,,,
intro,"Greetings, my dear little witch. I serve as the patron of the humble nearby town. The health and wellbeing of the local townsfolk is of the utmost importance to me.*I pray that your intentions are the same.",,,,,,,
,,,,,,,,
request_assess_bad,"My dear young witch, I pray the day has come that you use your skills for good. I would like you to share your intentions with me. *Will you bring me a potion that best displays what you have to offer the humble people of this town?*I hope, for their sake, it is a kind one.",,,,,,,
request_assess_neutral,"My dear young witch, as the patron deity of this small town, it is my duty to regularly assess the skills of its more... eccentric residents.*Will you bring me a potion that best displays what you have to offer the humble people of this town?",,,,,,,
request_assess_good,"My dear, I am here to assess your skills.* You are already such a kind and benevolent witch, I eagerly await to see what you have to offer.*Will you bring me a potion that best displays what you have to offer the humble people of this town?",,,,,,,
,,,,,,,,
request_assess_poison_bad,"I don't know what I expected.*You, my dear, you have much to learn about the world.","I don't know why you don't want to help people, my dear.*Your Aunt asked me to guide you, my dear, before...*...well, before she left this plane.","I can't believe this, young lady...*Although, at this point, I suppose I shouldn't expect more from you.*Your Aunt would be so disappointed in you.",,,,,
request_assess_poison_neutral,Ack! That didn't taste very nice.,Ack! This is horrible!*What did you just give to me?,"I don't think this is what I asked for...* Ahh, I'm not feeling very well.",,,,,
request_assess_poison_good,"Ack! Did you make a mistake, my dear?*This is definitely not what I asked for.","-choke- Was this some sort of prank, my dear?*Please do not do that again.",,,,,,
,,,,,,,,
request_assess_healing_bad,"You must forgive me if I am skeptical*-sniff- -sniff-*...*Alright, that's a healing potion alright. Thank you, my dear.","Oh, thank goodness it wasn't something horrible again.*Not that I can die, really, though.",,,,,,
request_assess_healing_neutral,"Excellent color! Lovely consistency. You have great skill, my dear.","Mmm, yes! A few drops of this in the well should take care of the village's little...*...problem.",,,,,,
request_assess_healing_good,"Simply wonderful! You've outdone yourself again, my dear.*Thank you, it's always a pleasure to come visit your little cottage.*I do miss visiting your Aunt here, though.","Are you using your Aunt's old recipe for these?*They're simply wonderful, I daresay more potent and healthful than hers, even!*Don't tell her I said that though, not that you could, my dear!*Forgive me, I forget your kind is still mortal.",,,,,,
,,,,,,,,
request_assess_invisibility_bad,"Hmm, a delicate flavor, balanced aftertaste...*Ah! Where did my hand go?*I can't believe you've done this again.",,,,,,,
request_assess_invisibility_neutral,"Um, did something happen?*Oh heavens, I can't see my hands!*I can't see my feet!*I'm leaving before you can do anything worse to me!","Oh dear, what just happened?*Ah! I'm gone! I hope this isn't going to last very long.",Heavens!*Did you really just turn me invisible?,,,,,
request_assess_invisibility_good,"Hmm, I can't say that this potion wor...*...ked... My dear! You've turned me invisible!*Was this supposed to be some prank? I can't say I find it very funny.",,,,,,,
,,,,,,,,
